# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) ! 198.976 us  |                  } /* timekeeping_advance */
 0) ! 245.984 us  |                } /* update_wall_time */
 0) ! 362.752 us  |              } /* tick_do_update_jiffies64.part.0 */
 0) ! 542.832 us  |            } /* tick_irq_enter */
 0)   5.760 us    |            _local_bh_enable();
 0)   6.736 us    |            irqtime_account_irq();
 0) ! 640.752 us  |          } /* irq_enter */
 0)   5.680 us    |          irq_find_mapping();
 0)               |          handle_fasteoi_irq() {
 0)   5.248 us    |            _raw_spin_lock();
 0)               |            handle_irq_event() {
 0)   4.736 us    |              _raw_spin_unlock();
 0)               |              __handle_irq_event_percpu() {
 0)               |                pl011_int() {
 0)   4.912 us    |                  _raw_spin_lock_irqsave();
 0)   7.632 us    |                  pl011_read();
 0)               |                  pl011_fifo_to_tty.isra.0() {
 0)   5.040 us    |                    pl011_read();
 0) + 21.104 us   |                    pl011_read();
 0)               |                    uart_insert_char() {
 0)               |                      __tty_insert_flip_char() {
 0)   5.664 us    |                        __tty_buffer_request_room();
 0) + 16.064 us   |                      }
 0) + 27.712 us   |                    }
 0)   5.520 us    |                    pl011_read();
 0)   7.072 us    |                    pl011_read();
 0)               |                    uart_insert_char() {
 0)               |                      __tty_insert_flip_char() {
 0)   4.480 us    |                        __tty_buffer_request_room();
 0) + 13.504 us   |                      }
 0) + 22.720 us   |                    }
 0)   5.328 us    |                    pl011_read();
 0) + 76.512 us   |                    pl011_read();
 0)               |                    uart_insert_char() {
 0)               |                      __tty_insert_flip_char() {
 0)   4.608 us    |                        __tty_buffer_request_room();
 0) + 13.984 us   |                      }
 0) + 25.616 us   |                    }
 0)   7.120 us    |                    pl011_read();
 0) ! 262.896 us  |                  }
 0)   5.024 us    |                  _raw_spin_unlock();
 0)               |                  tty_flip_buffer_push() {
 0)               |                    queue_work_on() {
 0)               |                      __queue_work() {
 0)   4.864 us    |                        __rcu_read_lock();
 0)   6.416 us    |                        _raw_spin_lock();
 0)               |                        wake_up_process() {
 0)               |                          try_to_wake_up() {
 0)   5.168 us    |                            _raw_spin_lock_irqsave();
